stop_id,stop_lat,stop_lon,stop_name
S166,5.64572,-0.139154,First Block Factory
S1660,5.58254,-0.275519,Banyard 2
S1662,5.57939,-0.266474,Odorkor 1
S1668,5.56039,-0.22768,Obetsebi Roundabout 1
S167,5.64681,-0.134475,Station 1 070
S1672,5.62886,-0.320112,Borko Borko Junc.
S1673,5.63232,-0.324696,Block Factory 051
S1675,5.63505,-0.328203,Paradise
S1677,5.63894,-0.33259,Waakye
S1678,5.64058,-0.33463,Oduman Junc.
S1680,5.64205,-0.338912,Nuumotse
S1682,5.64345,-0.344429,Mahean Junction
S1687,5.64335,-0.344149,Mahean Junction
S1688,5.64208,-0.339029,Nuumotse
S1689,5.64044,-0.334289,Oduman
S1690,5.63889,-0.332541,Waakye
S1691,5.63299,-0.325543,Paradise
S1693,5.62735,-0.312215,Curve 227
S1695,5.62526,-0.306477,Agape
S1697,5.62162,-0.298803,Fan Milk Junction
S1698,5.61755,-0.294488,Nsufa
S1699,5.61445,-0.295964,NIC
S17,5.6406,-0.248839,Tantra
S1701,5.60291,-0.293372,School Junction 227
S1703,5.59918,-0.291147,Market 005
S1704,5.58695,-0.279447,Station 378
S1705,5.57825,-0.270166,Odorkor Tipper
S171,5.64577,-0.139398,First Block Factory
S1710,5.56431,-0.234334,Kaneshie Societe Generale
S1713,5.567,-0.238729,MMT Station
S1716,5.57405,-0.250359,Atico
S1717,5.57723,-0.255541,Darkuman Junction 302
S172,5.64581,-0.140532,Roadside 070
S1723,5.57069,-0.245412,Academy
S1726,5.5626,-0.231636,Pamprom 2
S1728,5.55206,-0.210975,Kingsway
S173,5.64832,-0.150698,American House
S1732,5.60065,-0.273318,Family and Friends
S1734,5.61686,-0.276219,Chop Bar 999
S1736,5.62489,-0.283482,Sowutuom
S1737,5.62793,-0.285873,Heaven Church
S1738,5.63101,-0.285228,Mambo 230
S1739,5.63393,-0.286831,Mensah Addo
S1740,5.63598,-0.290579,Junction 230
S1741,5.63578,-0.292417,Transformer 230
S1745,5.63217,-0.29811,Ice Water Junction
S1747,5.5898,-0.284324,Odorgonno
S1748,5.57824,-0.25766,Glory Land
S1749,5.57031,-0.244235,Academy
S175,5.64304,-0.159744,Acheampong
S1754,5.57362,-0.27929,Mallam Market
S1755,5.55655,-0.30354,Weija Junction 1
S1757,5.56245,-0.316141,Filling Station 231
S1758,5.56303,-0.316952,Royals
S1759,5.5685,-0.328008,New Town 231
S1760,5.57038,-0.331259,Weija School Junction
S1761,5.57106,-0.333566,Zongo
S1762,5.57093,-0.334776,Market 231
S1764,5.5913,-0.190276,Kawokudi 231
S1767,5.56957,-0.330553,Zongo
S1768,5.56922,-0.286072,Mallam Junction 1
S1769,5.57365,-0.27894,Mallam Market
S177,5.64242,-0.16217,Roadside 2 070
S1772,5.58,-0.263932,Odorkor 2
S1775,5.57004,-0.24418,Station 231
S1776,5.56928,-0.242896,First Light 2
S1777,5.55536,-0.218708,Graphic
S1778,5.55217,-0.214895,Curve 177
S1787,5.56184,-0.207991,School Junction 232
S1788,5.56067,-0.211835,Adabraka Market
S179,5.63872,-0.170786,Super Market 071
S1792,5.56466,-0.26796,Ave Maria
S1793,5.57474,-0.274002,Sakaman
S1795,5.60505,-0.252197,Abrantie
S1796,5.60732,-0.246967,Lapaz (after traffic light)
S1797,5.61084,-0.232551,Suzy
S1798,5.61652,-0.229474,Achimota Old Station
S180,5.63241,-0.172893,Puplampu 241
S1802,5.61976,-0.230711,Achimota New Overhead
S1803,5.60663,-0.249528,Lapaz Market
S1804,5.60296,-0.258416,Hong Kong 017
S1806,5.57545,-0.274339,Sakaman
S1807,5.5676,-0.270258,Thirteenth
S1808,5.56483,-0.268245,Ave Maria
S181,5.63008,-0.173447,Camara 070
S1810,5.55969,-0.265179,Capital O2
S1811,5.55743,-0.264858,Roundabout 240
S1813,5.54975,-0.264624,Sahara 2
S1815,5.54649,-0.264636,Control
S1816,5.54421,-0.264591,Police Station 235
S1818,5.5417,-0.264706,Market 1
S1820,5.53807,-0.264892,Exhibition
S1830,5.53563,-0.228888,Total 447
S1845,5.53888,-0.248294,IBE
S1854,5.5368,-0.255804,Bridge (Camara)
S1855,5.53785,-0.259932,Mascot
S1857,5.53741,-0.262103,Exhibition Roundabout
S1858,5.53743,-0.264711,Exhibition Roundabout
S1859,5.5413,-0.264627,Market 1
S1863,5.55066,-0.264483,Sahara
S1865,5.55439,-0.264469,Mama's Inn
S1867,5.55681,-0.264657,Roundabout 240
S1869,5.55972,-0.265013,Capital O2
S187,5.64281,-0.160189,Acheampong
S1870,5.56052,-0.266064,Washing Bay 236
S1872,5.56059,-0.267469,Mt. Olivet
S1873,5.5619,-0.270678,Abam Kofi
S1877,5.54375,-0.264573,Police Station 235
S1878,5.54605,-0.264549,Control
S1880,5.55035,-0.264614,Sahara
S1881,5.5545,-0.264534,Maa Mercy
S1883,5.55951,-0.265181,Capital O2
S1885,5.56572,-0.268966,Water Works 237
S1886,5.56662,-0.269779,Chinese
S1887,5.5717,-0.272453,Blue Lagoon
S1890,5.586,-0.277009,Mangoase 402
S1891,5.58722,-0.279084,Station 378
S1892,5.59023,-0.284215,Odorgonno
S1894,5.5972,-0.290012,Anyaa
S1898,5.5886,-0.282313,Abrantie
S1899,5.58579,-0.277461,Mangoase 402
S19,5.62688,-0.251018,T-Junction 016
S1900,5.57244,-0.280665,Mallam Market
S1918,5.5398,-0.264657,Market 238
S192,5.63626,-0.171896,Mensvic
S1922,5.55275,-0.264495,Maa Mercy
S1923,5.56074,-0.260292,First Stop 238
S1924,5.56685,-0.258169,Wesley Grammar
S1925,5.57041,-0.255352,Asore Danho 264
S1926,5.5707,-0.245242,Academy
S1927,5.56581,-0.236873,Kaneshie
S193,5.63409,-0.172443,Zenith Bank
S1931,5.57451,-0.252768,Hansonic
S1932,5.57032,-0.255401,Asore Danho 264
S1933,5.56665,-0.258371,Wesley Grammar
S1934,5.55928,-0.262381,Zodiac 1
S1937,5.5521,-0.264605,Beechem
S1948,5.5364,-0.264989,Seven Great 242
S1949,5.53792,-0.264732,Exhibition
S1954,5.57128,-0.285701,Mallam Junction 239
S1956,5.57285,-0.286735,Masalachi 239
S1960,5.57097,-0.285483,Mallam Junction 239
S1961,5.57483,-0.276832,Chabaa
S1963,5.56953,-0.270939,Liberty
S1964,5.56123,-0.265139,Martin Deporres
S1971,5.53598,-0.265111,Seven Great 242
S1973,5.53316,-0.265333,Kofi Ne Ama
S1979,5.54131,-0.264805,Market 1
S1987,5.55444,-0.264496,Mama's Inn
S1989,5.56406,-0.260078,Akukor Photo
S1990,5.57412,-0.252915,Hansonic
S1992,5.5935,-0.252231,Alafia
S1993,5.60262,-0.258491,Nyamekye 2
S1998,5.58374,-0.251636,Masalachi 240
S2,5.58903,-0.282288,Awoshie Abrantie
S200,5.58503,-0.208133,Bank (GCB)
S2000,5.56776,-0.257096,Curve 240
S2002,5.56667,-0.258441,Grammer
S2003,5.56442,-0.260089,Photo
S2004,5.56038,-0.260385,First Stop 238
S2015,5.59282,-0.180497,Shell 241
S2016,5.62848,-0.173674,Block Factory 241
S2018,5.63292,-0.172707,Puplampu
S2019,5.63681,-0.171629,Road Side 241
S2020,5.64004,-0.169426,Banku Junction (E. Legon)
S2026,5.59186,-0.180872,37 Bonjour
S2028,5.57347,-0.201041,Nima Police Station
S2037,5.57372,-0.265736,Cocoa
S2038,5.57844,-0.267245,Junction 242
S204,5.57151,-0.213266,First Step
S205,5.56302,-0.213889,Market 156
S2052,5.55706,-0.264801,Roundabout 240
S2057,5.57006,-0.271068,Dela 243
S2059,5.57356,-0.27327,Umbrella
S206,5.55201,-0.210928,Kingsway
S2065,5.58458,-0.275038,Vineyard
S2067,5.57487,-0.282208,Market 243
S207,5.55006,-0.209683,MTTU(Last Stop)
S2070,5.56301,-0.265974,Light House 243
S2082,5.53313,-0.237482,Shell 282
S2083,5.53865,-0.208362,Ussher Fort
S2093,5.5348,-0.244422,Methodist 260
S2094,5.53287,-0.246242,Bamboi 2
S2096,5.53194,-0.254053,Two-O-Five
S2097,5.53143,-0.257532,Zone Six
S210,5.53142,-0.257723,Zone Six
S2108,5.55549,-0.264325,Roundabout 246
S2109,5.55962,-0.265231,Capital O2
S2111,5.56794,-0.270377,13th
S2125,5.55196,-0.264609,Beecham
S2129,5.54071,-0.264721,Exhibition
S2133,5.56271,-0.22843,Obetsebi Roundabout
S2134,5.55951,-0.230473,Mosque 036
S2136,5.5554,-0.226142,Sabolai
S214,5.53241,-0.250969,Lotto House
S2140,5.57832,-0.238769,Bubiashie
S2141,5.58202,-0.244617,Vulganizer 247
S2142,5.58224,-0.251499,Masalachi 240
S2143,5.58253,-0.251574,Quarters 306
S2147,5.55854,-0.222645,Azar
S2148,5.55687,-0.222042,Overhead 248
S2149,5.5555,-0.219349,Overhead 248
S2154,5.5781,-0.234328,2nd Junction
S2155,5.58642,-0.239333,Bubiashie
S216,5.58411,-0.2172,Caprice
S2163,5.57236,-0.247289,Quarters 249
S2164,5.57309,-0.248698,Goil 303
S2165,5.57417,-0.250366,Atico
S217,5.57282,-0.216404,Circle Bus Stop
S2170,5.56534,-0.225603,STC
S2171,5.55805,-0.222724,Toyota 251
S2173,5.5489,-0.210545,LTC Last Stop
S2177,5.54029,-0.217059,Junction 251
S2178,5.55393,-0.231442,Ayigbe Town 303
S2179,5.56337,-0.232653,Pramprom
S2181,5.56705,-0.238623,Mallam Station; MMT
S2184,5.57488,-0.251511,Dansoman Junction 251
S2185,5.57734,-0.254583,Darkuman Last Stop 090
S2189,5.61158,-0.198684,UBA
S219,5.56758,-0.21499,P.T.C
S2190,5.61165,-0.199535,Curve 254
S2191,5.61095,-0.204047,Fidelity Bank
S2192,5.60518,-0.204479,Ebony 254
S2194,5.59826,-0.198371,Pig Farm Down
S2195,5.58699,-0.20763,Mallata
S2199,5.58951,-0.207453,Masalachi 254
S2200,5.5913,-0.206321,AMA
S2201,5.59483,-0.202134,Abavana
S2208,5.61239,-0.201319,Vulganizer 254
S2212,5.64599,-0.15545,Brigde
S222,5.55675,-0.212108,Roxy
S2220,5.62086,-0.176244,Spanner
S2221,5.61622,-0.176185,Shangrila
